Timestep,Primary Energy Factor kWh/kWh delivered,Emissions Factor kgCO2e/kWh,Emissions Factor kgCO2e/kWh including out-of-scope emissions
16416,1.693044067,0.05418302,0.05418302
16417,1.69670613,0.055169087,0.055169087
16418,1.672568018,0.053663205,0.053663205
16419,1.632812254,0.048673115,0.048673115
16420,1.62742356,0.049535689,0.049535689
16421,1.667221084,0.054492331,0.054492331
16422,1.695414139,0.057736731,0.057736731
16423,1.701142482,0.05733042,0.05733042
16424,1.691554361,0.056041192,0.056041192
16425,1.654747753,0.05241261,0.05241261
16426,1.61244929,0.046931311,0.046931311
16427,1.615535192,0.045858547,0.045858547
16428,1.654592568,0.050757364,0.050757364
16429,1.626499823,0.04508173,0.04508173
16430,1.603557058,0.046103966,0.046103966
16431,1.595837778,0.044864231,0.044864231
16432,1.610772745,0.047660336,0.047660336
16433,1.638087368,0.053416091,0.053416091
16434,1.651984071,0.059341438,0.059341438
16435,1.669544592,0.062738264,0.062738264
16436,1.672904424,0.063462756,0.063462756
16437,1.797358508,0.065171663,0.065171663
16438,1.893414452,0.067527127,0.067527127
16439,1.924156511,0.065629225,0.065629225
16440,1.970786559,0.063057873,0.063057873
16441,1.946454595,0.056796008,0.056796008
16442,2.009583561,0.060995431,0.060995431
16443,2.020306281,0.067504064,0.067504064
16444,2.101621659,0.067587813,0.067587813
16445,2.235872565,0.067031546,0.067031546
16446,2.346903669,0.074943284,0.074943284
16447,2.442300709,0.083842343,0.083842343
16448,2.569553083,0.091204163,0.091204163
16449,2.5616848,0.099434468,0.099434468
16450,2.424789499,0.106357951,0.106357951
16451,2.353642771,0.099384609,0.099384609
16452,2.323719964,0.096710457,0.096710457
16453,2.376447707,0.094715016,0.094715016
16454,2.393571681,0.085677015,0.085677015
16455,2.378266553,0.082987656,0.082987656
16456,2.25326596,0.079014846,0.079014846
16457,2.189153445,0.076906075,0.076906075
16458,2.151077377,0.072000934,0.072000934
16459,2.072236184,0.069865548,0.069865548
16460,1.923755578,0.073666243,0.073666243
16461,1.816665719,0.069762283,0.069762283
16462,1.795969398,0.065398783,0.065398783
16463,1.818175729,0.066299068,0.066299068
16464,1.750494508,0.05912341,0.05912341
16465,1.75727827,0.06050244,0.06050244
