event_count,decile,day_name,day_wk_mon1,simple_labels2_based_on_900k_sample,median_event_volume,mean_event_volume,median_dur,mean_dur
1.17,8,Monday,1,2_shower,37.40675236,38.29977775,353.9350665,355.1077938
0.37489083,8,Monday,1,3_bath,69.52804803,71.68880937,652.9350665,651.2521397
0.209,8,Monday,1,2b_shower_big,105.2824347,109.6970584,974.9350665,1034.179114
23.051,8,Tuesday,2,0_small_tap,1.24388164,1.335568321,13.93506649,14.28961194
2.708,8,Tuesday,2,1_long_tap,10.65207183,11.0490671,110.9350665,111.8259756
1.178,8,Tuesday,2,2_shower,36.35838719,37.99346496,352.9350665,353.8894044
0.372052402,8,Tuesday,2,3_bath,70.51983461,72.69515748,655.9350665,656.412899
0.197,8,Tuesday,2,2b_shower_big,103.5728305,108.2256695,993.9350665,1032.549101
22.324,8,Wednesday,3,0_small_tap,1.253840563,1.330595929,13.93506649,14.20324831
2.537,8,Wednesday,3,1_long_tap,10.56079174,11.07802697,111.9350665,111.9350665
1.121,8,Wednesday,3,2_shower,37.61992983,38.64517028,356.4350665,356.8350665
0.358951965,8,Wednesday,3,3_bath,70.09710562,72.83187266,651.9350665,655.0075303
0.193,8,Wednesday,3,2b_shower_big,100.9585196,107.8227808,979.9350665,1023.834474
22.159,8,Thursday,4,0_small_tap,1.23735222,1.336439411,13.93506649,14.28961194
2.55,8,Thursday,4,1_long_tap,10.67597393,11.03448021,110.9350665,111.789612
1.131,8,Thursday,4,2_shower,38.23520067,38.74083225,356.9350665,356.3941574
0.3569869,8,Thursday,4,3_bath,70.33034271,72.42039942,650.4350665,653.0855519
0.19,8,Thursday,4,2b_shower_big,104.3381202,109.5293235,974.9350665,1037.375066
23.167,8,Friday,5,0_small_tap,1.261388221,1.330056796,13.93506649,14.25779376
2.595,8,Friday,5,1_long_tap,10.64837282,11.01319094,110.9350665,111.589612
1.115,8,Friday,5,2_shower,36.77397828,38.41526446,350.9350665,355.7168847
0.355458515,8,Friday,5,3_bath,69.5572223,72.26649549,654.9350665,655.6946819
0.197,8,Friday,5,2b_shower_big,103.5450649,108.7278321,988.4350665,1025.877595
24.343,8,Saturday,6,0_small_tap,1.231013388,1.313267193,13.93506649,14.06688467
2.736,8,Saturday,6,1_long_tap,10.51392427,10.94831079,110.9350665,111.4577938
1.151,8,Saturday,6,2_shower,37.41257685,38.18011357,355.4350665,354.8754335
0.36790393,8,Saturday,6,3_bath,69.92762806,72.00739315,653.9350665,655.0758432
0.206,8,Saturday,6,2b_shower_big,101.2818129,105.4734907,978.9350665,1017.757288
25.595,8,Sunday,7,0_small_tap,1.261230921,1.342456169,13.93506649,14.35324831
2.933,8,Sunday,7,1_long_tap,10.43482361,10.89451535,109.9350665,110.7441574
1.177,8,Sunday,7,2_shower,37.25360997,38.62926431,356.9350665,357.7941574
0.384061135,8,Sunday,7,3_bath,69.50492642,72.43439132,650.9350665,652.1862742
0.223,8,Sunday,7,2b_shower_big,102.406982,108.9048675,992.9350665,1037.094157
25.338,9,Monday,1,0_small_tap,1.154637499,1.262334854,13.27683039,13.55352942
3.045,9,Monday,1,1_long_tap,10.4497907,10.75936481,110.2768304,110.4127527
1.464,9,Monday,1,2_shower,37.59162678,38.71208496,354.2768304,357.2768304
0.453930131,9,Monday,1,3_bath,70.57682421,71.90781902,649.2768304,650.6531191
0.237,9,Monday,1,2b_shower_big,102.7673475,105.834929,997.2768304,1024.470012
24.616,9,Tuesday,2,0_small_tap,1.16980552,1.257709575,13.27683039,13.49527699
2.96,9,Tuesday,2,1_long_tap,10.33134605,10.74653471,109.7768304,110.179743
1.493,9,Tuesday,2,2_shower,37.58821874,38.8219379,357.2768304,357.0719524
0.45720524,9,Tuesday,2,3_bath,69.12059636,70.77961444,649.2768304,650.4070387
0.227,9,Tuesday,2,2b_shower_big,100.7285073,101.3855811,983.7768304,1019.315719
23.501,9,Wednesday,3,0_small_tap,1.182785649,1.263952106,13.27683039,13.58751
2.815,9,Wednesday,3,1_long_tap,10.37964444,10.76889349,109.2768304,110.2913935
1.42,9,Wednesday,3,2_shower,37.34480435,39.05324807,355.2768304,357.3695133
0.444759825,9,Wednesday,3,3_bath,69.02876226,70.83449951,653.2768304,652.1930608
0.237,9,Wednesday,3,2b_shower_big,103.8623822,106.7077753,1001.27683,1035.560854
23.487,9,Thursday,4,0_small_tap,1.163712941,1.248242849,12.27683039,13.41275272
2.822,9,Thursday,4,1_long_tap,10.38404987,10.70203436,110.2768304,110.0438207
1.425,9,Thursday,4,2_shower,37.59744759,38.81910169,355.2768304,357.0426841
0.442576419,9,Thursday,4,3_bath,70.84982801,71.81688284,650.2768304,651.2715948
0.239,9,Thursday,4,2b_shower_big,103.1437242,105.008418,997.2768304,1034.686187
24.144,9,Friday,5,0_small_tap,1.167356935,1.249569518,12.27683039,13.48071389
2.869,9,Friday,5,1_long_tap,10.52072018,10.78007298,110.2768304,110.5583838
1.439,9,Friday,5,2_shower,37.31641767,38.73589105,354.2768304,356.5486751
0.446943231,9,Friday,5,3_bath,70.63292464,71.53038281,652.2768304,652.0384884
0.241,9,Friday,5,2b_shower_big,103.9773023,106.7510477,1018.27683,1044.088595
25.135,9,Saturday,6,0_small_tap,1.169193003,1.237962625,12.27683039,13.38362651
3.006,9,Saturday,6,1_long_tap,10.35119594,10.72587992,111.2768304,110.4176071
1.418,9,Saturday,6,2_shower,37.14549628,38.45528815,353.7768304,354.6554712
0.439519651,9,Saturday,6,3_bath,71.60311748,72.21528539,654.2768304,653.980912
0.225,9,Saturday,6,2b_shower_big,105.8456016,106.9783329,999.2768304,1034.762864
27.278,9,Sunday,7,0_small_tap,1.1751707,1.262665576,13.27683039,13.58265563
3.293,9,Sunday,7,1_long_tap,10.28847509,10.66927006,109.2768304,109.6506168
1.486,9,Sunday,7,2_shower,37.37650264,38.89222775,355.2768304,356.8933353
0.466812227,9,Sunday,7,3_bath,69.72082055,71.12006789,651.2768304,650.9265766
0.261,9,Sunday,7,2b_shower_big,101.8393409,105.684121,993.2768304,1028.588969
