Column, Variable, Description, Units, Notes,,,,,,,,,,,,,,,,,
1, Year,,,,,,,,,,,,,,,,,,,,
2, Month,,,,,,,,,,,,,,,,,,,,
3, Date,,,,,,,,,,,,,,,,,,,,
4, Hour,,,,,,,,,,,,,,,,,,,,
5, PWC, , , (on hour GMT),,,,,,,,,,,,,,,,,
6, CC, Cloud amount, oktas, (on hour GMT),,,,,,,,,,,,,,,,,
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT),,,,,,,,,,,,,,,,,
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT),,,,,,,,,,,,,,,,,
9, RH, Relative Humidity, % (on hour GMT),,,,,,,,,,,,,,,,,,
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT),,,,,,,,,,,,,,,,,
11, WD, Wind Direction, degrees, (average over previous hour GMT),,,,,,,,,,,,,,,,,
12, WS, Wind Speed, knots, (average over previous hour GMT),,,,,,,,,,,,,,,,,
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT),,,,,,,,,,,,,,,,,
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT),,,,,,,,,,,,,,,,,
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT),,,,,,,,,,,,,,,,,
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT),,,,,,,,,,,,,,,,,
17-22, Missing Data Codes, see accompanying documentation for description,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Model parameters,,,,,,,,,,,,,,,,,,,,,
2003,1,6,1,,8,0.3,0,94.1,1014.7,30,5,0,0,,,0,0,0,0,0,0
2003,1,6,2,,8,0.6,0.4,96.1,1014.7,20,3,0,0,,,0,0,0,0,0,0
2003,1,6,3,,6,-0.5,-0.8,93.4,1014.8,20,3,0,0,,,0,0,0,0,0,0
2003,1,6,4,,1,-1,-1.3,92.8,1015.1,10,4,0,0,,,0,0,0,0,0,0
2003,1,6,5,,0,-1.2,-1.5,92.5,1015.1,10,5,0,0,,,0,0,0,0,0,0
2003,1,6,6,,0,-0.8,-1.2,91,1014.9,360,5,0,0,,,0,0,0,0,0,0
2003,1,6,7,,1,-0.2,-1,83.7,1015.1,20,6,0,0,,,0,0,0,0,0,0
2003,1,6,8,,3,0,-0.5,89.9,1015.9,30,7,0,0,,,0,0,0,0,0,0
2003,1,6,9,,1,0.1,-0.3,92.2,1016.8,20,5,0,0,,,0,0,0,0,0,0
2003,1,6,10,,3,1.2,0.2,80.9,1017.6,40,7,33.9,16.7,,,0,0,0,0,0,0
2003,1,6,11,,1,1.8,0.3,72.1,1018.5,40,8,125.3,35.6,,,0,0,0,0,0,0
2003,1,6,12,,1,2.5,0.6,66.1,1018.7,40,9,205,46.4,,,0,0,0,0,0,0
2003,1,6,13,,1,2.9,0.3,54.7,1018.8,50,15,237.8,60,,,0,0,0,0,0,0
2003,1,6,14,,1,3.4,-0.2,39.5,1019.1,50,14,253.9,63.1,,,0,0,0,0,0,0
2003,1,6,15,,1,3.5,-0.2,38.2,1019.6,50,11,205.3,48.6,,,0,0,0,0,0,0
2003,1,6,16,,2,3.3,0.2,47.4,1020.2,40,13,121.1,39.7,,,0,0,0,0,0,0
2003,1,6,17,,2,1.9,-0.3,61.9,1020.4,30,9,46.1,28.9,,,0,0,0,0,0,0
2003,1,6,18,,6,1.5,-0.7,60.9,1021,30,7,0,0,,,0,0,0,0,0,0
2003,1,6,19,,7,1.7,-0.3,65,1021.3,40,7,0,0,,,0,0,0,0,0,0
2003,1,6,20,,6,1.5,-0.5,64.5,1021.7,30,8,0,0,,,0,0,0,0,0,0
2003,1,6,21,,3,0.9,-1.5,55.7,1021.6,30,8,0,0,,,0,0,0,0,0,0
2003,1,6,22,,4,0,-1.5,70.4,1021.8,30,5,0,0,,,0,0,0,0,0,0
2003,1,6,23,,1,-0.6,-1.8,74.9,1021.5,30,7,0,0,,,0,0,0,0,0,0
2003,1,6,24,,1,-0.8,-1.7,80.7,1021.9,40,4,0,0,,,0,0,0,0,0,0
2003,1,7,1,,0,-1.5,-2.4,79.3,1021.7,30,4,0,0,,,0,0,0,0,0,0
2003,1,7,2,,3,-1.1,-2,80.1,1021.4,40,5,0,0,,,0,0,0,0,0,0
2003,1,7,3,,3,-0.9,-1.8,80.4,1021.1,50,7,0,0,,,0,0,0,0,0,0
2003,1,7,4,,5,-0.7,-1.6,80.7,1021.1,50,8,0,0,,,0,0,0,0,0,0
2003,1,7,5,,8,-0.3,-1.1,83.4,1020.8,70,8,0,0,,,0,0,0,0,0,0
