Column, Variable, Description, Units, Notes,,,,,,,,,,,,,,,,,
1, Year,,,,,,,,,,,,,,,,,,,,
2, Month,,,,,,,,,,,,,,,,,,,,
3, Date,,,,,,,,,,,,,,,,,,,,
4, Hour,,,,,,,,,,,,,,,,,,,,
5, PWC, , , (on hour GMT),,,,,,,,,,,,,,,,,
6, CC, Cloud amount, oktas, (on hour GMT),,,,,,,,,,,,,,,,,
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT),,,,,,,,,,,,,,,,,
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT),,,,,,,,,,,,,,,,,
9, RH, Relative Humidity, % (on hour GMT),,,,,,,,,,,,,,,,,,
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT),,,,,,,,,,,,,,,,,
11, WD, Wind Direction, degrees, (average over previous hour GMT),,,,,,,,,,,,,,,,,
12, WS, Wind Speed, knots, (average over previous hour GMT),,,,,,,,,,,,,,,,,
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT),,,,,,,,,,,,,,,,,
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT),,,,,,,,,,,,,,,,,
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT),,,,,,,,,,,,,,,,,
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT),,,,,,,,,,,,,,,,,
17-22, Missing Data Codes, see accompanying documentation for description,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Model parameters,,,,,,,,,,,,,,,,,,,,,
2003,1,8,5,,1,-4,-4.8,76.9,1017.5,30,3,0,0,,,0,0,0,0,0,0
2003,1,8,6,,6,-3.4,-4.1,80.6,1017.1,20,4,0,0,,,0,0,0,0,0,0
2003,1,8,7,,6,-1.9,-3,74.4,1017,40,5,0,0,,,0,0,0,0,0,0
2003,1,8,8,,7,-0.8,-1.9,76.6,1016.9,40,7,0,0,,,0,0,0,0,0,0
2003,1,8,9,,7,-0.8,-1.8,78.6,1016.9,20,8,0,0,,,0,0,0,0,0,0
2003,1,8,10,,7,-0.7,-1.7,78.8,1017.4,20,7,6.7,6.4,,,0,0,0,0,0,0
2003,1,8,11,,7,-0.2,-1.1,81.7,1017.8,30,7,10,10,,,0,0,0,0,0,0
2003,1,8,12,,7,-0.6,-0.9,93.2,1017.5,30,8,24.4,24.4,,,0,0,0,0,0,0
2003,1,8,13,,7,-0.3,-0.7,91.6,1016.9,30,6,24.2,24.2,,,0,0,0,0,0,0
2003,1,8,14,,7,0.1,-0.1,95.9,1016.5,20,7,18.6,18.6,,,0,0,0,0,0,0
2003,1,8,15,,8,0.4,-0.2,87.8,1016.2,40,6,41.4,40.8,,,0,0,0,0,0,0
2003,1,8,16,,8,0.8,0.2,88.3,1016.3,50,7,67.2,66.7,,,0,0,0,0,0,0
2003,1,8,17,,7,0.8,0.2,88.3,1016.4,70,7,22.2,21.9,,,0,0,0,0,0,0
2003,1,8,18,,7,0.8,0,84.4,1016.9,50,9,0,0,,,0,0,0,0,0,0
2003,1,8,19,,7,0.7,-0.2,82.1,1017.1,60,8,0,0,,,0,0,0,0,0,0
2003,1,8,20,,7,0.1,-0.7,84.2,1017.5,40,9,0,0,,,0,0,0,0,0,0
2003,1,8,21,,6,-0.3,-1.4,77.4,1017.7,40,9,0,0,,,0,0,0,0,0,0
2003,1,8,22,,7,-0.5,-1.6,77.1,1017.8,40,7,0,0,,,0,0,0,0,0,0
2003,1,8,23,,7,-0.7,-1.6,80.7,1018.1,40,7,0,0,,,0,0,0,0,0,0
2003,1,8,24,,7,-0.6,-1.4,82.9,1018.3,40,7,0,0,,,0,0,0,0,0,0
2003,1,9,1,,7,-0.4,-1.3,81.5,1018.4,40,10,0,0,,,0,0,0,0,0,0
2003,1,9,2,,5,-0.3,-1.5,75.6,1018.4,50,11,0,0,,,0,0,0,0,0,0
2003,1,9,3,,2,-0.7,-1.8,76.6,1019,40,9,0,0,,,0,0,0,0,0,0
2003,1,9,4,,4,-0.8,-1.7,80.7,1019.6,30,9,0,0,,,0,0,0,0,0,0
2003,1,9,5,,4,-0.8,-1.9,76.6,1019.8,30,10,0,0,,,0,0,0,0,0,0
2003,1,9,6,,7,-0.6,-1.9,73,1019.8,30,10,0,0,,,0,0,0,0,0,0
2003,1,9,7,,7,-0.3,-1,85.5,1020.1,40,11,0,0,,,0,0,0,0,0,0
2003,1,9,8,,7,0,-0.7,86.1,1020.4,40,12,0,0,,,0,0,0,0,0,0
2003,1,9,9,,7,0,-0.2,95.7,1020.9,40,10,0,0,,,0,0,0,0,0,0
2003,1,9,10,,4,0,-0.2,95.7,1021.7,30,8,39.7,19.4,,,0,0,0,0,0,0
2003,1,9,11,,1,0.3,0.1,96,1022.4,40,11,133.1,39.4,,,0,0,0,0,0,0
2003,1,9,12,,1,1.1,0.8,94,1022.7,40,12,217.2,48.1,,,0,0,0,0,0,0
2003,1,9,13,,1,1.7,0.4,75.7,1022.9,40,14,265.6,50.8,,,0,0,0,0,0,0
2003,1,9,14,,1,1.9,-0.7,55.1,1022.9,40,16,267.5,49.7,,,0,0,0,0,0,0
2003,1,9,15,,1,2.2,0.6,70.8,1023,50,12,218.9,45,,,0,0,0,0,0,0
2003,1,9,16,,1,2,1.4,88.8,1023.7,30,11,132.5,35.6,,,0,0,0,0,0,0
2003,1,9,17,,1,1.7,0.2,71.9,1024.1,30,9,37.5,17.8,,,0,0,0,0,0,0
2003,1,9,18,,1,0.4,-0.2,87.8,1024.5,20,3,0,0,,,0,0,0,0,0,0
2003,1,9,19,,5,1,0.1,82.3,1025,40,4,0,0,,,0,0,0,0,0,0
2003,1,9,20,,7,1.3,0.6,86.6,1025.1,10,4,0,0,,,0,0,0,0,0,0
2003,1,9,21,,7,1.5,0.8,86.6,1025.5,350,4,0,0,,,0,0,0,0,0,0
2003,1,9,22,,7,1.6,1.1,90.5,1025.8,360,4,0,0,,,0,0,0,0,0,0
2003,1,9,23,,7,2.3,1.6,87.2,1025.9,350,8,0,0,,,0,0,0,0,0,0
2003,1,9,24,,6,2.2,1.5,87.2,1026,350,7,0,0,,,0,0,0,0,0,0
2003,1,10,1,,2,2.2,1.5,87.2,1025.9,350,8,0,0,,,0,0,0,0,0,0
2003,1,10,2,,2,1.9,1.3,88.7,1025.8,350,9,0,0,,,0,0,0,0,0,0
2003,1,10,3,,0,1.4,0.9,90.4,1026.1,350,9,0,0,,,0,0,0,0,0,0
2003,1,10,4,,0,1.2,0.7,90.4,1026.4,340,7,0,0,,,0,0,0,0,0,0
2003,1,10,5,,1,0.7,0.3,91.9,1026.7,340,6,0,0,,,0,0,0,0,0,0
2003,1,10,6,,3,1.6,1.2,92.3,1026.5,350,7,0,0,,,0,0,0,0,0,0
2003,1,10,7,,7,2.4,1.9,90.9,1026.5,350,9,0,0,,,0,0,0,0,0,0
2003,1,10,8,,6,2.2,1.6,89,1026.7,340,7,0,0,,,0,0,0,0,0,0
2003,1,10,9,,7,2.5,1.9,89.2,1026.9,350,9,0.6,0.6,,,0,0,0,0,0,0
2003,1,10,10,,7,2.7,1.9,85.6,1027.3,350,8,16.9,16.7,,,0,0,0,0,0,0
2003,1,10,11,,6,3.3,2.3,82.6,1027.7,350,9,71.7,63.9,,,0,0,0,0,0,0
2003,1,10,12,,5,3.6,2.3,77.6,1027.7,350,9,92.8,88.6,,,0,0,0,0,0,0
2003,1,10,13,,6,4.5,3,75.3,1027.2,340,8,113.3,108.3,,,0,0,0,0,0,0
2003,1,10,14,,7,4.5,3,75.3,1026.9,350,13,124.7,108.9,,,0,0,0,0,0,0
2003,1,10,15,,6,4.4,2.8,73.6,1026.8,340,13,87.8,86.9,,,0,0,0,0,0,0
2003,1,10,16,,7,3.8,2.7,81.3,1027,340,12,22.2,22.2,,,0,0,0,0,0,0
2003,1,10,17,,7,3.9,2.8,81.3,1027.2,360,13,13.3,13.1,,,0,0,0,0,0,0
2003,1,10,18,,7,3.9,2.9,83,1027.4,350,11,0,0,,,0,0,0,0,0,0
2003,1,10,19,,7,3.3,2.4,84.2,1028,360,10,0,0,,,0,0,0,0,0,0
2003,1,10,20,,7,3.2,2.6,89.5,1028.5,10,10,0,0,,,0,0,0,0,0,0
2003,1,10,21,,6,2.9,2.4,91,1029.2,10,10,0,0,,,0,0,0,0,0,0
2003,1,10,22,,7,2.9,2.2,87.4,1029.8,10,9,0,0,,,0,0,0,0,0,0
2003,1,10,23,,8,3,1.9,80.5,1030.8,50,10,0,0,,,0,0,0,0,0,0
2003,1,10,24,,7,2.5,0.5,64.2,1031.5,50,11,0,0,,,0,0,0,0,0,0
2003,1,11,1,,8,1.9,0.4,72,1032.1,60,10,0,0,,,0,0,0,0,0,0
2003,1,11,2,,5,1.1,-0.4,72.5,1032.4,80,10,0,0,,,0,0,0,0,0,0
2003,1,11,3,,0,0.4,-1.2,69,1032.9,70,6,0,0,,,0,0,0,0,0,0
2003,1,11,4,,0,-1.5,-2.6,75,1033.8,30,4,0,0,,,0,0,0,0,0,0
2003,1,11,5,,0,-1.1,-2.1,77.8,1034.5,40,5,0,0,,,0,0,0,0,0,0
2003,1,11,6,,0,-1.8,-2.8,76.6,1034.7,30,5,0,0,,,0,0,0,0,0,0
2003,1,11,7,,0,-2.6,-3.3,81.6,1035,20,5,0,0,,,0,0,0,0,0,0
2003,1,11,8,,1,-2.5,-3.2,81.9,1035.5,30,6,0,0,,,0,0,0,0,0,0
2003,1,11,9,,7,-3.7,-4.2,84.5,1036,10,3,0.6,0.3,,,0,0,0,0,0,0
2003,1,11,10,,7,-3.3,-3.8,85.2,1036.5,10,4,42.5,24.4,,,0,0,0,0,0,0
2003,1,11,11,,3,-0.3,-1.4,77.3,1037,50,2,127.5,52.8,,,0,0,0,0,0,0
2003,1,11,12,,2,1,-0.2,76.4,1037.4,30,2,190,58.3,,,0,0,0,0,0,0
2003,1,11,13,,3,1.6,0.4,77.3,1037.6,10,5,215.8,70.6,,,0,0,0,0,0,0
2003,1,11,14,,3,2.2,0.4,67,1037.2,10,3,226.7,70.8,,,0,0,0,0,0,0
2003,1,11,15,,2,2.7,0.8,66,1037.1,50,2,145,66.7,,,0,0,0,0,0,0
2003,1,11,16,,2,2.4,0.5,65.7,1037.2,10,4,89.2,55.8,,,0,0,0,0,0,0
2003,1,11,17,,3,1.4,0,73.2,1037.3,10,4,34.2,24.2,,,0,0,0,0,0,0
2003,1,11,18,,6,0.1,-0.9,80,1037.5,40,2,0.3,0.3,,,0,0,0,0,0,0
2003,1,11,19,,3,-0.8,-1.6,82.5,1037.3,310,2,0,0,,,0,0,0,0,0,0
2003,1,11,20,,1,-1.9,-2.6,82.9,1037.7,320,2,0,0,,,0,0,0,0,0,0
2003,1,11,21,,1,-3.1,-3.6,85.4,1037.7,320,2,0,0,,,0,0,0,0,0,0
2003,1,11,22,,1,-3.4,-3.8,87.4,1037.6,290,2,0,0,,,0,0,0,0,0,0
2003,1,11,23,,1,-4.4,-4.8,85.7,1037.8,0,0,0,0,,,0,0,0,0,0,0
2003,1,11,24,,0,-4.5,-4.9,85.6,1037.7,0,0,0,0,,,0,0,0,0,0,0
2003,1,12,1,,0,-5.1,-5.5,84.9,1037.5,0,0,0,0,,,0,0,0,0,0,0
2003,1,12,2,,0,-4.8,-5.2,85.3,1037.2,0,0,0,0,,,0,0,0,0,0,0
2003,1,12,3,,0,-5.6,-6,84.1,1037.3,0,0,0,0,,,0,0,0,0,0,0
2003,1,12,4,,0,-6,-6.4,83.6,1037,0,0,0,0,,,0,0,0,0,0,0
2003,1,12,5,,0,-5.7,-6.1,84,1036.6,0,0,0,0,,,0,0,0,0,0,0
2003,1,12,6,,0,-6.5,-6.8,85.6,1036.3,0,0,0,0,,,0,0,0,0,0,0
2003,1,12,7,,0,-7.2,-7.5,84.8,1036.1,0,0,0,0,,,0,0,0,0,0,0
2003,1,12,8,,4,-7.2,-7.6,81.7,1036.2,250,1,0,0,,,0,0,0,0,0,0
2003,1,12,9,,6,-5.9,-6.3,83.7,1035.9,220,2,3.1,2.8,,,0,0,0,0,0,0
2003,1,12,10,,7,-4.9,-5.3,85.1,1036.4,250,1,59.4,35.6,,,0,0,0,0,0,0
2003,1,12,11,,7,-2.4,-2.9,86.5,1036.5,210,2,132.8,50.8,,,0,0,0,0,0,0
2003,1,12,12,,2,-0.6,-1.5,80.9,1036.3,230,3,206.1,51.9,,,0,0,0,0,0,0
2003,1,12,13,,2,0.9,-0.3,77.8,1035.6,240,5,262.8,56.7,,,0,0,0,0,0,0
2003,1,12,14,,3,2.6,0.8,67.6,1034.8,250,6,264.4,60,,,0,0,0,0,0,0
2003,1,12,15,,4,3,1.2,68.2,1034.4,240,5,214.7,60.3,,,0,0,0,0,0,0
2003,1,12,16,,5,3.5,1.5,65.7,1034.3,230,4,139.2,54.2,,,0,0,0,0,0,0
2003,1,12,17,,7,3.3,1.6,70.5,1033.9,250,5,55,39.2,,,0,0,0,0,0,0
2003,1,12,18,,7,2.8,1.4,75,1033.7,250,8,0.6,0.6,,,0,0,0,0,0,0
2003,1,12,19,,7,2.5,1.4,80,1033.4,240,5,0,0,,,0,0,0,0,0,0
2003,1,12,20,,7,2.6,1.5,80.1,1033.1,230,2,0,0,,,0,0,0,0,0,0
2003,1,12,21,,7,2.6,1.5,80.1,1032.7,240,6,0,0,,,0,0,0,0,0,0
2003,1,12,22,,2,2.3,1.3,81.7,1032.5,240,6,0,0,,,0,0,0,0,0,0
2003,1,12,23,,7,3.1,2,80.6,1032.1,240,8,0,0,,,0,0,0,0,0,0
2003,1,12,24,,7,4.1,2.7,76.6,1031.5,250,9,0,0,,,0,0,0,0,0,0
2003,1,13,1,,7,4.4,2.9,75.1,1030.9,250,10,0,0,,,0,0,0,0,0,0
2003,1,13,2,,8,4.2,2.9,78.3,1030.3,250,10,0,0,,,0,0,0,0,0,0
2003,1,13,3,,8,4.3,3.2,81.6,1029.9,250,7,0,0,,,0,0,0,0,0,0
2003,1,13,4,,8,5.7,4.5,81.2,1029.5,260,9,0,0,,,0,0,0,0,0,0
2003,1,13,5,,8,6.4,5.3,83.3,1028.7,250,8,0,0,,,0,0,0,0,0,0
2003,1,13,6,,8,6.4,5.5,86.2,1028.2,240,6,0,0,,,0,0,0,0,0,0
2003,1,13,7,,7,6.7,5.9,87.9,1028.4,250,6,0,0,,,0,0,0,0,0,0
2003,1,13,8,,7,7.7,6.7,85.6,1028.6,250,7,0,0,,,0,0,0,0,0,0
2003,1,13,9,,7,6.6,6,90.9,1028.8,240,6,0,0,,,0,0,0,0,0,0
2003,1,13,10,,7,7.7,6.9,88.4,1028.6,260,10,26.1,25.6,,,0,0,0,0,0,0
2003,1,13,11,,7,8.6,7.3,81.9,1029.1,280,13,87.5,84.7,,,0,0,0,0,0,0
2003,1,13,12,,7,9.1,7.8,82.4,1029.4,280,9,80.6,79.4,,,0,0,0,0,0,0
2003,1,13,13,,6,10.9,8.7,72.4,1028.8,260,14,87.5,83.6,,,0,0,0,0,0,0
2003,1,13,14,,7,11.1,8.7,70.2,1028.4,270,16,130,115.8,,,0,0,0,0,0,0
2003,1,13,15,,7,11.5,8.9,68.3,1028.2,270,15,145.3,130.8,,,0,0,0,0,0,0
2003,1,13,16,,6,11.1,8.7,70.2,1028.5,280,16,68.9,66.1,,,0,0,0,0,0,0
2003,1,13,17,,6,10,8,74,1028.7,270,14,26.7,22.8,,,0,0,0,0,0,0
2003,1,13,18,,7,9.5,7.6,74.7,1028.6,260,12,0,0,,,0,0,0,0,0,0
2003,1,13,19,,7,9.5,7.6,74.7,1028.9,270,13,0,0,,,0,0,0,0,0,0
2003,1,13,20,,7,9.4,7.6,75.9,1029.7,260,12,0,0,,,0,0,0,0,0,0
2003,1,13,21,,8,9.3,7.4,74.6,1029.8,250,11,0,0,,,0,0,0,0,0,0
2003,1,13,22,,7,8.8,7.3,79.4,1029.8,240,10,0,0,,,0,0,0,0,0,0
2003,1,13,23,,8,8.7,6.9,75.3,1029.5,240,9,0,0,,,0,0,0,0,0,0
2003,1,13,24,,8,8.7,7.1,78,1029.9,240,12,0,0,,,0,0,0,0,0,0
2003,1,14,1,,8,8.6,7,77.8,1029.7,240,12,0,0,,,0,0,0,0,0,0
2003,1,14,2,,8,8.7,7.1,78,1029.8,250,10,0,0,,,0,0,0,0,0,0
2003,1,14,3,,8,8.8,7.2,78,1029.6,250,10,0,0,,,0,0,0,0,0,0
2003,1,14,4,,8,8.7,7.2,79.4,1029.7,250,9,0,0,,,0,0,0,0,0,0
2003,1,14,5,,8,8.7,7.2,79.4,1029.6,240,8,0,0,,,0,0,0,0,0,0
2003,1,14,6,,8,8.3,7.1,83.1,1029.4,220,7,0,0,,,0,0,0,0,0,0
2003,1,14,7,,8,8.5,7.3,83.2,1028.9,240,10,0,0,,,0,0,0,0,0,0
2003,1,14,8,,8,8.7,7.4,82,1029.2,240,9,0,0,,,0,0,0,0,0,0
2003,1,14,9,,8,8.9,7.4,79.5,1029.5,240,9,0,0,,,0,0,0,0,0,0
2003,1,14,10,,7,9,7.6,80.9,1029.5,240,12,11.4,11.1,,,0,0,0,0,0,0
2003,1,14,11,,7,9.5,7.9,78.6,1029.4,250,17,63.3,63.1,,,0,0,0,0,0,0
2003,1,14,12,,7,9.6,7.8,76.2,1029.3,250,13,44.4,44.4,,,0,0,0,0,0,0
2003,1,14,13,,7,10.1,7.4,65.3,1028.8,250,13,101.4,101.1,,,0,0,0,0,0,0
2003,1,14,14,,7,10.4,7,57.3,1028.2,240,17,150.8,150,,,0,0,0,0,0,0
2003,1,14,15,,8,9.9,6.7,58.9,1027.9,250,16,57.8,57.8,,,0,0,0,0,0,0
2003,1,14,16,,8,9.5,6.5,60.8,1027.6,250,13,25.6,25.6,,,0,0,0,0,0,0
2003,1,14,17,,8,9.5,6.3,58.2,1027.6,250,18,7.2,6.9,,,0,0,0,0,0,0
2003,1,14,18,,7,9.2,6.3,61.6,1027.2,240,14,0,0,,,0,0,0,0,0,0
2003,1,14,19,,8,9,6.4,65.2,1026.9,230,15,0,0,,,0,0,0,0,0,0
2003,1,14,20,,8,8.9,6.3,65,1026.8,240,14,0,0,,,0,0,0,0,0,0
2003,1,14,21,,7,9,6.1,61.3,1026.6,240,16,0,0,,,0,0,0,0,0,0
2003,1,14,22,,7,8.9,6.2,63.7,1026.4,240,13,0,0,,,0,0,0,0,0,0
2003,1,14,23,,8,8.8,6.1,63.6,1026.1,230,13,0,0,,,0,0,0,0,0,0
2003,1,14,24,,8,9.1,6.2,61.4,1025.8,230,14,0,0,,,0,0,0,0,0,0
2003,1,15,1,,8,9,6.3,63.9,1025.1,230,13,0,0,,,0,0,0,0,0,0
2003,1,15,2,,8,9,6.3,63.9,1024.4,230,15,0,0,,,0,0,0,0,0,0
2003,1,15,3,,8,9.1,6.4,64.1,1023.8,220,13,0,0,,,0,0,0,0,0,0
2003,1,15,4,,8,9.2,6.5,64.2,1023.2,220,15,0,0,,,0,0,0,0,0,0
2003,1,15,5,,8,9.2,6.2,60.4,1022.6,230,14,0,0,,,0,0,0,0,0,0
2003,1,15,6,,8,9.1,6.8,69.2,1021.8,220,17,0,0,,,0,0,0,0,0,0
2003,1,15,7,,7,9.4,6.6,63.3,1021.3,220,17,0,0,,,0,0,0,0,0,0
2003,1,15,8,,7,9.3,6.8,66.9,1021,220,14,0,0,,,0,0,0,0,0,0
2003,1,15,9,,7,9.3,6.6,64.4,1021.1,230,14,0.8,0.8,,,0,0,0,0,0,0
2003,1,15,10,,7,9.4,6.8,65.8,1020.6,220,14,21.4,20.8,,,0,0,0,0,0,0
2003,1,15,11,,7,9.7,7.2,67.4,1020.4,220,15,98.1,92.8,,,0,0,0,0,0,0
2003,1,15,12,,8,10,7.5,67.8,1020.3,230,15,71.7,68.9,,,0,0,0,0,0,0
2003,1,15,13,,8,9.2,8,83.8,1020,230,15,20.8,20.8,,,0,0,0,0,0,0
2003,1,15,14,,7,8.6,8,91.6,1019.8,250,11,18.9,18.9,,,0,0,0,0,0,0
2003,1,15,15,,7,9,7.8,83.7,1018.9,240,10,39.4,39.2,,,0,0,0,0,0,0
2003,1,15,16,,6,8.9,7.4,79.6,1018.9,250,9,70.3,63.6,,,0,0,0,0,0,0
2003,1,15,17,,4,8.8,7.1,76.9,1019.1,240,7,41.7,32.5,,,0,0,0,0,0,0
2003,1,15,18,,5,8.6,7.2,80.7,1019.5,230,7,0.3,0.3,,,0,0,0,0,0,0
2003,1,15,19,,4,8.3,6.8,79.1,1020,250,7,0,0,,,0,0,0,0,0,0
2003,1,15,20,,2,7.5,6.1,79.8,1020.7,250,8,0,0,,,0,0,0,0,0,0
2003,1,15,21,,1,7.2,5.6,76.7,1021.8,270,9,0,0,,,0,0,0,0,0,0
2003,1,15,22,,1,6.1,4.8,80,1022.2,250,6,0,0,,,0,0,0,0,0,0
2003,1,15,23,,0,5.9,4.7,81.4,1022.9,250,10,0,0,,,0,0,0,0,0,0
2003,1,15,24,,0,5.2,4.2,84,1023.8,260,9,0,0,,,0,0,0,0,0,0
2003,1,16,1,,0,5.1,3.9,80.8,1024,270,9,0,0,,,0,0,0,0,0,0
2003,1,16,2,,0,4.7,3.8,85.2,1024.6,250,8,0,0,,,0,0,0,0,0,0
2003,1,16,3,,0,4.5,3.6,85.1,1025.2,260,7,0,0,,,0,0,0,0,0,0
2003,1,16,4,,0,3.8,3.1,88,1025.5,240,7,0,0,,,0,0,0,0,0,0
2003,1,16,5,,0,3.7,3,88.1,1025.9,240,4,0,0,,,0,0,0,0,0,0
2003,1,16,6,,0,3.3,2.7,89.5,1026.1,200,1,0,0,,,0,0,0,0,0,0
2003,1,16,7,,2,2.5,2.1,92.7,1026.5,220,2,0,0,,,0,0,0,0,0,0
2003,1,16,8,,3,2.8,2.3,91,1027.1,210,2,0,0,,,0,0,0,0,0,0
2003,1,16,9,,5,3.2,2.7,91.2,1027.5,230,2,0.8,0.6,,,0,0,0,0,0,0
2003,1,16,10,,5,3.9,3.3,89.7,1028.2,210,6,46.7,29.7,,,0,0,0,0,0,0
2003,1,16,11,,5,6.2,5.1,83.2,1028.6,250,6,153.1,75.8,,,0,0,0,0,0,0
2003,1,16,12,,6,7.8,6.2,77.1,1028.8,220,6,201.1,103.3,,,0,0,0,0,0,0
2003,1,16,13,,6,7.9,6.4,78.7,1028.2,230,6,216.7,99.4,,,0,0,0,0,0,0
2003,1,16,14,,5,9.8,7.6,71.2,1027,230,10,242.2,81.1,,,0,0,0,0,0,0
2003,1,16,15,,6,9.8,7.6,71.3,1026.6,230,9,208.6,96.9,,,0,0,0,0,0,0
2003,1,16,16,,5,10.2,7.6,66.7,1026,220,9,111.7,73.9,,,0,0,0,0,0,0
2003,1,16,17,,5,9.3,7.1,70.7,1026,230,9,46.7,29.2,,,0,0,0,0,0,0
2003,1,16,18,,5,7.8,6.4,80,1025.9,210,6,1.4,1.4,,,0,0,0,0,0,0
2003,1,16,19,,6,7.4,6.3,84,1025.5,210,8,0,0,,,0,0,0,0,0,0
2003,1,16,20,,6,7.3,6.3,85.3,1025.3,210,9,0,0,,,0,0,0,0,0,0
2003,1,16,21,,5,7.9,6.6,81.5,1024.7,220,11,0,0,,,0,0,0,0,0,0
2003,1,16,22,,6,7.8,6.6,82.8,1024.4,210,11,0,0,,,0,0,0,0,0,0
2003,1,16,23,,2,7.7,6.3,79.9,1023.9,210,11,0,0,,,0,0,0,0,0,0
2003,1,16,24,,7,8,6.5,78.8,1023,220,13,0,0,,,0,0,0,0,0,0
2003,1,17,1,,8,8.2,6.5,76.2,1022.3,210,13,0,0,,,0,0,0,0,0,0
2003,1,17,2,,8,8.4,6.6,75.1,1021.2,210,12,0,0,,,0,0,0,0,0,0
2003,1,17,3,,8,8.3,6.5,75,1020,210,13,0,0,,,0,0,0,0,0,0
2003,1,17,4,,8,7.9,6.6,81.5,1018.9,200,13,0,0,,,0,0,0,0,0,0
2003,1,17,5,,8,7.7,6.4,81.4,1017.9,210,15,0,0,,,0,0,0,0,0,0
2003,1,17,6,,8,7.2,6.1,84,1017.2,210,14,0,0,,,0,0,0,0,0,0
2003,1,17,7,,8,7.2,6.1,84,1016.7,210,14,0,0,,,0,0,0,0,0,0
2003,1,17,8,,8,7.1,5.8,80.9,1016.5,210,18,0,0,,,0,0,0,0,0,0
2003,1,17,9,,8,6.5,5.8,89.4,1016,200,14,0,0,,,0,0,0,0,0,0
2003,1,17,10,,7,6.3,5.4,86.3,1014.7,190,14,15.3,15,,,0,0,0,0,0,0
2003,1,17,11,,7,6.4,5.3,83.4,1013.8,190,16,61.9,59.7,,,0,0,0,0,0,0
2003,1,17,12,,7,6.9,5.6,80.9,1012.8,190,16,172.5,138.1,,,0,0,0,0,0,0
2003,1,17,13,,7,6.9,5.5,79.4,1012,190,13,125.8,112.8,,,0,0,0,0,0,0
2003,1,17,14,,8,7.1,5.7,79.6,1010.5,190,17,49.4,48.1,,,0,0,0,0,0,0
2003,1,17,15,,8,6.7,5.9,88,1009.7,190,15,19.7,19.7,,,0,0,0,0,0,0
2003,1,17,16,,8,6.6,5.8,87.9,1009.3,190,15,10.6,10.6,,,0,0,0,0,0,0
2003,1,17,17,,8,6.7,6.1,91,1009.5,200,13,3.1,3.1,,,0,0,0,0,0,0
2003,1,17,18,,7,7.1,6.4,89.7,1010.4,230,8,0,0,,,0,0,0,0,0,0
2003,1,17,19,,7,7.1,6.1,85.3,1011.2,240,7,0,0,,,0,0,0,0,0,0
2003,1,17,20,,1,5.8,5,87.6,1012.2,250,5,0,0,,,0,0,0,0,0,0
2003,1,17,21,,1,5.1,4.5,90.3,1012.7,250,5,0,0,,,0,0,0,0,0,0
2003,1,17,22,,0,4.4,4,93.3,1013.1,240,7,0,0,,,0,0,0,0,0,0
2003,1,17,23,,0,3.7,3.2,91.6,1013.3,230,4,0,0,,,0,0,0,0,0,0
2003,1,17,24,,0,3.7,3.1,89.7,1013.9,250,5,0,0,,,0,0,0,0,0,0
2003,1,18,1,,0,3.5,3,91.3,1014.2,260,6,0,0,,,0,0,0,0,0,0
2003,1,18,2,,1,3,2.6,93,1014.3,240,6,0,0,,,0,0,0,0,0,0
2003,1,18,3,,0,3.4,2.8,89.5,1014.6,250,7,0,0,,,0,0,0,0,0,0
2003,1,18,4,,0,2.9,2.5,92.8,1014.5,250,6,0,0,,,0,0,0,0,0,0
2003,1,18,5,,0,2.2,1.9,94.6,1014.8,230,3,0,0,,,0,0,0,0,0,0
2003,1,18,6,,0,1.2,0.8,92.3,1014.7,260,3,0,0,,,0,0,0,0,0,0
2003,1,18,7,,0,0.7,0.4,94.1,1015.1,0,0,0,0,,,0,0,0,0,0,0
2003,1,18,8,,7,1.2,1.2,100,1015.3,170,1,0,0,,,0,0,0,0,0,0
2003,1,18,9,,7,-0.4,-0.7,93.6,1015.3,0,0,1.1,1.1,,,0,0,0,0,0,0
2003,1,18,10,,7,1.6,1.3,94.3,1015.4,110,1,43.1,36.7,,,0,0,0,0,0,0
2003,1,18,11,,7,3.8,3.5,94.9,1015.4,160,1,133.1,104.4,,,0,0,0,0,0,0
2003,1,18,12,,7,6.4,5.9,92.3,1015,190,2,126.4,124.2,,,0,0,0,0,0,0
2003,1,18,13,,7,8.5,7.4,84.8,1014,190,7,194.7,178.3,,,0,0,0,0,0,0
2003,1,18,14,,7,9.6,7.7,75,1013.2,200,13,224.7,159.4,,,0,0,0,0,0,0
2003,1,18,15,,7,9.2,7.1,72.1,1012.7,190,11,156.4,132.2,,,0,0,0,0,0,0
2003,1,18,16,,6,8.9,6.6,69.1,1012.1,180,13,116.4,91.9,,,0,0,0,0,0,0
2003,1,18,17,,6,7.8,5.6,69.1,1011,170,11,45.6,28.3,,,0,0,0,0,0,0
