timestep,Standard Tariff,7-Hour Off Peak Tariff,10-Hour Off Peak Tariff,Variable Time of Day Tariff
382,25.16,29.8,35.01,14.63046705
383,25.16,29.8,35.01,19.43177958
384,25.16,14.6,16.04,10.44442645
385,25.16,14.6,16.04,9.351216902
386,25.16,14.6,16.04,13.95023759
387,25.16,14.6,16.04,8.972898847
388,25.16,14.6,16.04,19.63380127
389,25.16,14.6,16.04,19.15113053
390,25.16,14.6,16.04,18.56924426
391,25.16,14.6,16.04,13.37056233
392,25.16,14.6,16.04,9.355522403
393,25.16,14.6,16.04,8.847407292
394,25.16,14.6,16.04,16.25296731
395,25.16,14.6,16.04,21.53486368
396,25.16,14.6,16.04,22.48665772
397,25.16,14.6,16.04,29.61482286
398,25.16,29.8,35.01,28.45546361
399,25.16,29.8,35.01,26.23202573
400,25.16,29.8,35.01,21.90630811
401,25.16,29.8,35.01,17.77368103
402,25.16,29.8,35.01,28.95603662
403,25.16,29.8,35.01,27.40256923
404,25.16,29.8,35.01,22.32031448
405,25.16,29.8,35.01,27.93271667
406,25.16,29.8,35.01,16.60357175
407,25.16,29.8,35.01,22.77339601
408,25.16,29.8,35.01,21.06088892
409,25.16,29.8,35.01,20.828485
410,25.16,29.8,35.01,20.8188653
411,25.16,29.8,16.04,17.04446849
412,25.16,29.8,16.04,10.6999461
413,25.16,29.8,16.04,8.747290197
414,25.16,29.8,16.04,22.3644721
415,25.16,29.8,16.04,16.35805962
416,25.16,29.8,16.04,21.83167583
417,25.16,29.8,35.01,17.07327695
418,25.16,29.8,35.01,13.18813311
419,25.16,29.8,35.01,19.48199883
420,25.16,29.8,35.01,23.21382379
421,25.16,29.8,35.01,15.33219359
422,25.16,29.8,35.01,14.6459182
423,25.16,29.8,35.01,21.92759019
424,25.16,29.8,35.01,17.61641073
425,25.16,29.8,35.01,18.82696484
426,25.16,29.8,35.01,13.75198733
427,25.16,29.8,35.01,26.40779359
428,25.16,29.8,35.01,13.25554972
429,25.16,29.8,35.01,4.748497538
430,25.16,29.8,35.01,13.78456616
431,25.16,29.8,35.01,18.30827753
432,25.16,14.6,16.04,10.65414599
433,25.16,14.6,16.04,9.538985265
434,25.16,14.6,16.04,14.23035229
435,25.16,14.6,16.04,9.153070749
436,25.16,14.6,16.04,20.02803945
437,25.16,14.6,16.04,19.53567689
438,25.16,14.6,16.04,18.9421066
439,25.16,14.6,16.04,13.6390374
440,25.16,14.6,16.04,9.543377219
441,25.16,14.6,16.04,9.025059378
442,25.16,14.6,16.04,16.57931981
443,25.16,14.6,16.04,21.96727436
444,25.16,14.6,16.04,23.04392369
445,25.16,14.6,16.04,30.34873952
446,25.16,29.8,35.01,29.16064896
447,25.16,29.8,35.01,26.88210968
448,25.16,29.8,35.01,22.44919181
449,25.16,29.8,35.01,18.21414967
450,25.16,29.8,35.01,29.6736272
451,25.16,29.8,35.01,28.08166167
452,25.16,29.8,35.01,22.87345812
453,25.16,29.8,35.01,28.62494726
454,25.16,29.8,35.01,17.01504266
455,25.16,29.8,35.01,23.33776795
456,25.16,29.8,35.01,21.58282138
457,25.16,29.8,35.01,21.34465802
458,25.16,29.8,35.01,21.33479991
459,25.16,29.8,16.04,17.46686573
460,25.16,29.8,16.04,10.96511293
461,25.16,29.8,16.04,8.964066171
462,25.16,29.8,16.04,22.91871005
463,25.16,29.8,16.04,16.76344623
464,25.16,29.8,16.04,22.37270999
465,25.16,29.8,35.01,17.49638813
466,25.16,29.8,35.01,13.51496237
467,25.16,29.8,35.01,19.96480313
468,25.16,29.8,35.01,23.78911044
469,25.16,29.8,35.01,15.71215711
470,25.16,29.8,35.01,15.00887439
471,25.16,29.8,35.01,22.4710013
472,25.16,29.8,35.01,18.05298189
473,25.16,29.8,35.01,19.29353604
474,25.16,29.8,35.01,14.09279007
475,25.16,29.8,35.01,27.06223343
476,25.16,29.8,35.01,13.52171539
477,25.16,29.8,35.01,4.843845301
478,25.16,29.8,35.01,14.06135425
479,25.16,29.8,35.01,18.67589977
480,25.16,14.6,16.04,11.06298347
481,25.16,14.6,16.04,9.905030066
482,25.16,14.6,16.04,14.77642153
483,25.16,14.6,16.04,9.504306637
484,25.16,14.6,16.04,20.79658658
485,25.16,14.6,16.04,20.28533032
486,25.16,14.6,16.04,19.66898262
487,25.16,14.6,16.04,14.16241579
488,25.16,14.6,16.04,9.909590555
489,25.16,14.6,16.04,9.371383014
490,25.16,14.6,16.04,17.2155273
491,25.16,14.6,16.04,22.81023683
492,25.16,14.6,16.04,24.13028513
493,25.16,14.6,16.04,31.77947245
494,25.16,29.8,35.01,30.53537164
495,25.16,29.8,35.01,28.14941501
496,25.16,29.8,35.01,23.50751576
497,25.16,29.8,35.01,19.0728207
498,25.16,29.8,35.01,31.07253325
499,25.16,29.8,35.01,29.40551758
500,25.16,29.8,35.01,23.95178329
501,25.16,29.8,35.01,29.97441531
502,25.16,29.8,35.01,17.8171841
503,25.16,29.8,35.01,24.43798211
