timestep,Standard Tariff,7-Hour Off Peak Tariff,10-Hour Off Peak Tariff,Variable Time of Day Tariff,Export Tariff
399,25.16,29.8,35.01,26.23202573,10.00
400,25.16,29.8,35.01,21.90630811,10.00
401,25.16,29.8,35.01,17.77368103,10.00
402,25.16,29.8,35.01,28.95603662,10.00
403,25.16,29.8,35.01,27.40256923,10.00
404,25.16,29.8,35.01,22.32031448,10.00
405,25.16,29.8,35.01,27.93271667,10.00
406,25.16,29.8,35.01,16.60357175,10.00
407,25.16,29.8,35.01,22.77339601,10.00
408,25.16,29.8,35.01,21.06088892,10.00
409,25.16,29.8,35.01,20.828485,10.00
410,25.16,29.8,35.01,20.8188653,10.00
411,25.16,29.8,16.04,17.04446849,10.00
412,25.16,29.8,16.04,10.6999461,10.00
413,25.16,29.8,16.04,8.747290197,10.00
414,25.16,29.8,16.04,22.3644721,10.00
415,25.16,29.8,16.04,16.35805962,10.00
416,25.16,29.8,16.04,21.83167583,10.00
417,25.16,29.8,35.01,17.07327695,10.00
418,25.16,29.8,35.01,13.18813311,10.00
419,25.16,29.8,35.01,19.48199883,10.00
420,25.16,29.8,35.01,23.21382379,10.00
421,25.16,29.8,35.01,15.33219359,10.00
422,25.16,29.8,35.01,14.6459182,10.00
423,25.16,29.8,35.01,21.92759019,10.00
424,25.16,29.8,35.01,17.61641073,10.00
425,25.16,29.8,35.01,18.82696484,10.00
426,25.16,29.8,35.01,13.75198733,10.00
427,25.16,29.8,35.01,26.40779359,10.00
428,25.16,29.8,35.01,13.25554972,10.00
429,25.16,29.8,35.01,4.748497538,10.00
430,25.16,29.8,35.01,13.78456616,10.00
431,25.16,29.8,35.01,18.30827753,10.00
432,25.16,14.6,16.04,10.65414599,10.00
433,25.16,14.6,16.04,9.538985265,10.00
434,25.16,14.6,16.04,14.23035229,10.00
435,25.16,14.6,16.04,9.153070749,10.00
436,25.16,14.6,16.04,20.02803945,10.00
437,25.16,14.6,16.04,19.53567689,10.00
438,25.16,14.6,16.04,18.9421066,10.00
439,25.16,14.6,16.04,13.6390374,10.00
440,25.16,14.6,16.04,9.543377219,10.00
441,25.16,14.6,16.04,9.025059378,10.00
442,25.16,14.6,16.04,16.57931981,10.00
443,25.16,14.6,16.04,21.96727436,10.00
444,25.16,14.6,16.04,23.04392369,10.00
445,25.16,14.6,16.04,30.34873952,10.00
446,25.16,29.8,35.01,29.16064896,10.00
